Date,red1,red2,red3,red4,red5,red6,blue
2025-01-16(四),7,8,14,18,21,27,11
2025-01-14(二),1,7,8,17,20,22,6
2025-01-12(日),10,16,19,27,28,30,9
2025-01-09(四),3,7,17,27,29,32,4
2025-01-07(二),10,19,20,26,28,29,15
2025-01-05(日),9,12,13,15,22,26,11
2025-01-02(四),2,3,17,18,22,33,16
2024-12-31(二),5,10,16,19,29,32,4
2024-12-29(日),13,14,20,22,26,32,2
2024-12-26(四),3,9,16,17,18,22,16
2024-12-24(二),2,6,15,16,21,23,11
2024-12-22(日),5,11,13,16,21,30,10
2024-12-19(四),2,4,11,22,27,32,10
2024-12-17(二),1,3,16,22,23,30,3
2024-12-15(日),2,9,11,17,20,30,11
2024-12-12(四),2,5,11,22,30,33,10
2024-12-10(二),4,6,13,21,22,25,6
2024-12-08(日),1,2,7,15,24,29,12
2024-12-05(四),4,7,8,17,22,26,15
2024-12-03(二),15,16,20,22,23,29,14
2024-12-01(日),2,7,11,21,27,28,2
2024-11-28(四),4,9,10,19,26,27,12
2024-11-26(二),3,11,15,21,25,26,3
2024-11-24(日),5,11,17,18,30,31,13
2024-11-21(四),2,4,13,16,18,20,16
2024-11-19(二),1,11,15,27,30,33,1
2024-11-17(日),1,4,25,27,28,33,3
2024-11-14(四),4,5,11,15,20,32,13
2024-11-12(二),1,8,12,17,19,24,16
2024-11-10(日),9,10,13,19,24,32,1
2024-11-07(四),1,8,13,18,20,26,16
2024-11-05(二),2,5,13,20,27,32,10
2024-11-03(日),14,18,23,24,26,33,10
2024-10-31(四),1,4,13,18,26,30,3
2024-10-29(二),2,14,15,17,25,30,11
2024-10-27(日),2,15,22,26,30,33,4
2024-10-24(四),5,7,9,16,17,29,15
2024-10-22(二),1,7,10,13,27,33,3
2024-10-20(日),1,5,7,11,18,19,7
2024-10-17(四),2,9,26,27,31,32,14
2024-10-15(二),2,3,4,6,11,15,14
2024-10-13(日),3,12,14,16,29,32,12
2024-10-10(四),1,15,20,22,31,32,3
2024-10-08(二),3,10,11,19,27,28,7
2024-10-06(日),7,11,18,24,27,32,4
2024-09-29(日),4,5,23,24,26,31,11
2024-09-26(四),8,11,16,25,29,32,3
2024-09-24(二),1,4,11,12,22,30,16
2024-09-22(日),4,13,17,23,25,33,14
2024-09-19(四),3,4,24,28,29,33,9
2024-09-17(二),1,8,9,23,24,30,8
2024-09-15(日),1,6,8,13,17,19,9
2024-09-12(四),3,8,11,22,31,33,4
2024-09-10(二),2,5,17,19,29,33,4
2024-09-08(日),5,16,23,24,26,29,4
2024-09-05(四),12,21,23,27,32,33,15
2024-09-03(二),9,15,18,21,22,25,1
2024-09-01(日),8,12,15,17,19,30,8
2024-08-29(四),13,14,19,20,27,30,5
2024-08-27(二),4,12,17,24,26,27,16
2024-08-25(日),3,8,10,20,30,31,2
2024-08-22(四),4,10,12,13,18,30,3
2024-08-20(二),2,4,14,18,23,27,13
2024-08-18(日),4,6,9,14,16,21,3
2024-08-15(四),6,13,17,22,25,27,9
2024-08-13(二),1,5,7,11,12,15,12
2024-08-11(日),3,8,11,12,18,29,5
2024-08-08(四),13,15,16,19,20,24,10
2024-08-06(二),7,11,17,24,31,32,12
2024-08-04(日),3,6,9,15,18,31,1
2024-08-01(四),3,8,10,17,30,32,10
2024-07-30(二),3,9,18,19,20,26,11
2024-07-28(日),17,19,20,23,25,31,2
2024-07-25(四),1,5,15,21,23,27,15
2024-07-23(二),1,8,10,13,19,29,13
2024-07-21(日),3,9,14,29,32,33,15
2024-07-18(四),1,2,13,16,17,29,16
2024-07-16(二),1,6,12,17,23,25,4
2024-07-14(日),6,11,12,27,29,30,13
2024-07-11(四),2,3,6,7,16,26,4
2024-07-09(二),5,9,14,21,22,26,12
2024-07-07(日),1,4,6,14,17,22,8
2024-07-04(四),3,22,24,27,29,32,15
2024-07-02(二),3,5,8,18,22,28,1
2024-06-30(日),7,8,10,22,24,32,7
2024-06-27(四),3,9,12,18,28,30,1
2024-06-25(二),1,14,20,21,23,27,6
2024-06-23(日),2,8,19,28,30,31,14
2024-06-20(四),4,13,18,20,22,28,5
2024-06-18(二),6,13,20,21,24,32,6
2024-06-16(日),1,2,7,19,20,21,1
2024-06-13(四),1,11,13,17,25,29,3
2024-06-11(二),8,9,12,22,26,32,13
2024-06-09(日),3,5,9,10,19,22,14
2024-06-06(四),6,8,17,18,28,30,5
2024-06-04(二),7,14,16,23,28,32,4
2024-06-02(日),1,7,10,16,18,27,16
2024-05-30(四),1,9,18,22,25,28,2
2024-05-28(二),1,2,6,10,22,28,15
2024-05-26(日),1,3,14,25,31,33,7
2024-05-23(四),8,12,13,17,27,29,13
2024-05-21(二),3,8,17,18,23,31,8
2024-05-19(日),5,18,20,24,25,26,6
2024-05-16(四),2,4,6,7,16,29,3
2024-05-14(二),8,13,20,25,31,32,3
2024-05-12(日),7,14,21,22,28,33,7
2024-05-09(四),7,10,11,15,17,21,3
2024-05-07(二),5,9,13,20,23,28,6
2024-05-05(日),1,3,7,10,22,33,2
2024-05-02(四),12,15,17,23,26,32,11
2024-04-30(二),2,9,15,19,26,28,2
2024-04-28(日),7,8,21,26,29,30,15
2024-04-25(四),2,6,10,11,17,29,15
2024-04-23(二),2,8,19,23,24,26,3
2024-04-21(日),2,6,17,25,32,33,6
2024-04-18(四),4,6,7,14,15,24,8
2024-04-16(二),2,4,5,14,26,32,14
2024-04-14(日),2,9,12,22,25,33,16
2024-04-11(四),11,14,18,19,23,26,2
2024-04-09(二),2,6,12,29,30,31,10
2024-04-07(日),8,10,18,23,27,31,2
2024-04-04(四),1,4,5,6,12,14,13
2024-04-02(二),2,8,9,12,21,31,2
2024-03-31(日),5,7,14,17,22,32,6
2024-03-28(四),2,9,12,19,21,31,4
2024-03-26(二),6,10,11,18,20,32,5
2024-03-24(日),1,3,4,11,12,21,16
2024-03-21(四),9,10,13,25,30,32,2
2024-03-19(二),1,8,22,25,29,33,10
2024-03-17(日),12,18,23,25,28,33,4
2024-03-14(四),3,7,8,11,18,19,5
2024-03-12(二),2,6,13,27,28,32,13
2024-03-10(日),4,7,18,19,20,25,6
2024-03-07(四),8,15,21,22,25,33,13
2024-03-05(二),3,7,21,24,26,30,10
2024-03-03(日),1,10,22,25,28,32,10
2024-02-29(四),2,9,11,14,18,26,6
2024-02-27(二),4,6,16,17,23,24,11
2024-02-25(日),3,8,12,14,17,33,8
2024-02-22(四),5,11,12,16,17,20,8
2024-02-20(二),6,15,17,24,28,29,16
2024-02-18(日),4,17,19,20,25,32,4
2024-02-06(二),7,12,20,24,32,33,4
2024-02-04(日),3,8,17,18,20,30,15
2024-02-01(四),1,2,10,22,24,25,13
2024-01-30(二),1,7,10,14,21,25,7
2024-01-28(日),1,3,7,18,22,28,15
2024-01-25(四),8,12,16,20,27,31,6
2024-01-23(二),11,16,20,21,23,24,4
2024-01-21(日),1,4,7,10,17,23,14
2024-01-18(四),8,20,21,23,27,30,13
2024-01-16(二),4,5,6,7,20,22,15
2024-01-14(日),7,18,20,21,26,32,5
2024-01-11(四),5,6,20,23,25,32,3
2024-01-09(二),9,13,17,18,21,27,4
2024-01-07(日),1,5,8,13,32,33,3
2024-01-04(四),4,9,10,17,19,20,9
2024-01-02(二),3,7,16,26,27,32,16
2023-12-31(日),1,15,16,20,25,27,5
2023-12-28(四),10,17,25,26,30,33,5
2023-12-26(二),2,10,19,24,26,33,15
2023-12-24(日),3,5,7,9,19,20,8
2023-12-21(四),5,6,14,16,19,32,12
2023-12-19(二),2,3,6,11,20,32,9
2023-12-17(日),7,10,21,22,23,24,11
2023-12-14(四),12,16,17,22,25,27,8
2023-12-12(二),5,7,9,16,23,30,15
2023-12-10(日),2,8,20,21,27,33,14
2023-12-07(四),1,8,11,12,21,23,3
2023-12-05(二),3,4,11,14,30,31,5
2023-12-03(日),12,14,19,21,27,31,11
2023-11-30(四),3,22,28,30,31,33,4
2023-11-28(二),3,12,17,19,23,27,11
2023-11-26(日),3,5,10,21,22,26,10
2023-11-23(四),5,6,11,13,28,30,7
2023-11-21(二),5,8,9,17,22,33,4
2023-11-19(日),4,5,10,14,22,25,3
2023-11-16(四),3,9,11,15,25,27,1
2023-11-14(二),6,7,14,20,26,32,1
2023-11-12(日),4,10,17,22,23,32,16
2023-11-09(四),8,9,12,17,32,33,4
2023-11-07(二),7,16,20,21,27,33,1
2023-11-05(日),3,8,19,22,26,32,14
2023-11-02(四),10,24,26,28,29,31,16
2023-10-31(二),11,14,15,27,30,33,4
2023-10-29(日),2,3,17,18,25,30,11
2023-10-26(四),10,13,15,22,29,32,15
2023-10-24(二),7,8,14,18,20,30,5
2023-10-22(日),2,12,16,25,30,31,12
2023-10-19(四),3,8,13,24,27,29,8
2023-10-17(二),1,2,3,19,21,28,15
2023-10-15(日),1,2,11,19,25,29,4
2023-10-12(四),2,11,14,17,18,28,8
2023-10-10(二),2,8,9,13,24,27,12
2023-10-08(日),2,7,16,21,26,27,16
2023-10-05(四),7,9,15,16,17,26,9
2023-09-28(四),1,2,13,18,25,27,3
2023-09-26(二),9,12,13,22,24,31,4
2023-09-24(日),5,6,12,17,20,33,9
2023-09-21(四),2,6,20,25,29,33,16
2023-09-19(二),6,8,10,13,16,28,13
2023-09-17(日),1,3,6,8,18,24,9
2023-09-14(四),3,7,18,25,29,33,14
2023-09-12(二),7,9,10,20,22,24,7
2023-09-10(日),1,3,5,26,30,32,16
2023-09-07(四),10,19,23,25,30,31,12
2023-09-05(二),5,6,13,24,25,29,15
2023-09-03(日),1,9,10,13,21,28,10
2023-08-31(四),1,5,9,15,18,26,4
2023-08-29(二),5,6,12,15,23,25,4
2023-08-27(日),9,11,14,19,27,33,5
2023-08-24(四),2,10,11,14,21,27,11
2023-08-22(二),1,9,14,19,29,30,15
2023-08-20(日),8,11,18,26,31,32,15
2023-08-17(四),3,8,16,17,22,26,11
2023-08-15(二),6,10,12,14,30,31,12
2023-08-13(日),10,21,24,25,27,32,7
2023-08-10(四),3,12,24,25,32,33,13
2023-08-08(二),16,20,22,26,30,32,16
2023-08-06(日),1,2,9,26,30,31,7
2023-08-03(四),8,13,15,27,28,31,11
2023-08-01(二),1,14,18,26,31,33,5
2023-07-30(日),2,9,15,17,28,33,1
2023-07-27(四),8,9,10,22,26,32,12
2023-07-25(二),11,18,23,24,31,33,13
2023-07-23(日),9,13,14,17,19,27,3
2023-07-20(四),7,10,12,16,17,30,12
2023-07-18(二),4,18,19,24,27,30,16
2023-07-16(日),1,11,15,16,22,31,15
2023-07-13(四),1,2,4,9,25,31,8
2023-07-11(二),5,6,9,12,21,22,7
2023-07-09(日),6,8,14,19,30,31,8
2023-07-06(四),7,9,14,22,26,27,1
2023-07-04(二),3,4,15,18,19,22,9
2023-07-02(日),13,15,24,28,30,31,1
2023-06-29(四),2,8,9,18,19,21,3
2023-06-27(二),1,3,15,16,25,32,10
2023-06-25(日),2,6,10,24,25,33,9
2023-06-22(四),5,12,15,19,24,26,6
2023-06-20(二),3,5,25,31,32,33,4
2023-06-18(日),12,14,17,20,21,26,2
2023-06-15(四),11,12,15,18,29,33,2
2023-06-13(二),1,3,12,19,28,32,14
2023-06-11(日),2,7,8,10,26,31,6
2023-06-08(四),2,14,17,20,26,33,14
2023-06-06(二),1,7,11,12,16,18,4
2023-06-04(日),4,8,17,20,22,27,13
2023-06-01(四),11,19,23,24,26,33,15
2023-05-30(二),1,4,6,11,12,22,15
2023-05-28(日),9,11,17,19,30,31,11
2023-05-25(四),2,6,13,22,27,32,6
2023-05-23(二),10,17,22,26,30,33,11
2023-05-21(日),2,5,10,17,24,32,3
2023-05-18(四),8,14,15,18,23,33,8
2023-05-16(二),3,4,20,23,27,32,13
2023-05-14(日),5,6,9,10,15,26,12
2023-05-11(四),1,7,14,20,27,30,15
2023-05-09(二),3,4,5,8,12,17,6
2023-05-07(日),22,26,29,30,32,33,14
2023-05-04(四),2,7,9,14,22,23,5
2023-05-02(二),5,7,14,23,25,27,2
2023-04-30(日),2,3,10,24,28,30,8
2023-04-27(四),5,7,14,23,31,33,7
2023-04-25(二),6,8,17,25,26,28,3
2023-04-23(日),3,6,12,21,27,28,4
2023-04-20(四),2,8,15,22,24,26,16
2023-04-18(二),5,8,12,20,24,28,10
2023-04-16(日),10,17,20,23,27,30,10
2023-04-13(四),1,6,12,13,15,24,6
2023-04-11(二),9,16,17,24,29,31,8
2023-04-09(日),2,3,9,13,19,28,9
2023-04-06(四),2,9,14,17,31,33,8
2023-04-04(二),8,23,25,26,29,31,12
2023-04-02(日),13,14,18,19,24,30,9
2023-03-30(四),1,4,9,10,20,33,6
2023-03-28(二),2,3,9,11,12,17,15
2023-03-26(日),8,9,13,23,24,26,5
2023-03-23(四),6,19,20,26,28,33,1
2023-03-21(二),7,14,27,29,31,33,5
2023-03-19(日),2,3,7,16,30,31,6
2023-03-16(四),3,7,12,24,28,33,8
2023-03-14(二),5,7,10,17,20,22,14
2023-03-12(日),8,10,22,27,32,33,8
2023-03-09(四),1,18,26,30,31,33,3
2023-03-07(二),4,16,20,21,31,32,14
2023-03-05(日),3,6,9,17,27,28,3
2023-03-02(四),5,8,10,15,24,25,9
2023-02-28(二),10,11,18,19,23,31,3
2023-02-26(日),2,5,6,19,21,27,4
2023-02-23(四),1,12,17,18,26,27,5
2023-02-21(二),6,12,26,28,29,32,15
2023-02-19(日),10,12,17,19,25,31,13
2023-02-16(四),5,11,18,20,26,28,12
2023-02-14(二),14,16,19,23,28,30,3
2023-02-12(日),2,3,14,21,29,32,8
2023-02-09(四),6,7,18,23,27,30,5
2023-02-07(二),6,10,14,22,23,33,13
2023-02-05(日),3,4,7,22,26,30,6
2023-02-02(四),6,7,16,17,21,22,4
2023-01-31(二),4,5,13,18,27,29,12
2023-01-29(日),3,4,19,23,30,32,6
2023-01-17(二),5,13,18,20,26,28,6
2023-01-15(日),5,6,9,22,25,31,3
2023-01-12(四),2,10,12,14,24,26,5
2023-01-10(二),2,6,8,13,14,19,16
2023-01-08(日),1,7,15,16,20,25,16
2023-01-05(四),5,8,18,25,30,32,6
2023-01-03(二),2,6,10,16,18,22,13
2023-01-01(日),9,16,18,22,28,32,2
2022-12-29(四),1,7,11,12,22,28,5
2022-12-27(二),2,22,26,29,32,33,14
2022-12-25(日),2,15,16,17,21,31,14
2022-12-22(四),2,3,7,13,20,30,10
2022-12-20(二),6,7,13,18,26,31,6
2022-12-18(日),3,21,25,30,31,33,11
2022-12-15(四),7,20,22,23,31,32,5
2022-12-13(二),7,8,13,29,30,33,3
2022-12-11(日),1,3,13,16,21,27,3
2022-12-08(四),5,12,13,17,20,27,14
2022-12-06(二),8,9,18,19,20,27,15
2022-12-04(日),6,7,9,16,17,19,14
2022-12-01(四),2,14,19,21,25,28,11
2022-11-29(二),8,21,23,27,28,33,1
2022-11-27(日),8,10,14,15,18,22,8
2022-11-24(四),9,11,13,24,28,32,6
2022-11-22(二),1,5,14,17,24,31,14
2022-11-20(日),5,8,16,17,21,25,12
2022-11-17(四),1,3,18,26,32,33,4
2022-11-15(二),3,5,10,13,19,29,6
2022-11-13(日),2,8,15,17,26,28,12
2022-11-10(四),10,12,14,22,24,27,7
2022-11-08(二),3,12,18,24,27,29,1
2022-11-06(日),3,4,9,10,29,33,13
2022-11-03(四),1,13,15,17,26,33,13
2022-11-01(二),2,3,7,12,20,31,16
2022-10-30(日),5,10,13,18,24,26,1
2022-10-27(四),10,13,16,20,21,25,5
2022-10-25(二),6,8,17,19,24,28,5
2022-10-23(日),12,17,22,27,30,31,2
2022-10-20(四),2,15,19,26,27,29,2
2022-10-18(二),2,5,15,18,26,27,4
2022-10-16(日),2,6,7,11,14,33,8
2022-10-13(四),4,13,17,18,28,29,6
2022-10-11(二),8,14,26,27,30,33,1
2022-10-09(日),6,7,18,20,27,29,9
2022-10-06(四),1,5,15,19,26,29,13
2022-09-29(四),13,14,20,24,27,29,2
2022-09-27(二),3,5,8,17,25,31,1
2022-09-25(日),2,10,11,13,28,31,1
2022-09-22(四),9,13,15,18,20,28,15
2022-09-20(二),4,11,13,19,22,33,11
2022-09-18(日),1,7,13,17,18,31,15
2022-09-15(四),3,9,11,15,19,28,16
2022-09-13(二),17,20,22,23,24,31,1
2022-09-11(日),6,12,13,15,21,23,15
2022-09-08(四),1,8,19,25,26,31,1
2022-09-06(二),6,9,12,14,20,28,10
2022-09-04(日),9,10,12,18,29,32,14
2022-09-01(四),4,16,18,19,27,28,4
2022-08-30(二),2,6,7,15,20,21,15
2022-08-28(日),1,11,23,24,26,32,15
2022-08-25(四),2,3,4,6,21,33,5
2022-08-23(二),4,5,10,13,30,31,14
2022-08-21(日),3,16,17,19,25,33,7
2022-08-18(四),4,13,14,18,20,28,8
2022-08-16(二),6,11,13,16,19,31,2
2022-08-14(日),21,22,24,28,29,32,14
2022-08-11(四),7,10,16,20,21,27,11
2022-08-09(二),8,18,20,22,24,28,10
2022-08-07(日),1,4,25,27,29,30,7
2022-08-04(四),2,7,15,29,31,33,15
2022-08-02(二),3,9,15,17,20,22,6
2022-07-31(日),5,6,9,13,23,25,8
2022-07-28(四),1,4,8,21,23,24,11
2022-07-26(二),7,9,14,31,32,33,13
2022-07-24(日),3,18,23,24,25,32,9
2022-07-21(四),8,12,13,14,19,20,5
2022-07-19(二),4,10,11,23,30,32,14
2022-07-17(日),4,8,11,21,27,30,1
2022-07-14(四),5,12,15,17,18,27,4
2022-07-12(二),1,9,15,17,22,23,16
2022-07-10(日),1,4,5,15,17,31,9
2022-07-07(四),3,17,18,19,20,27,16
2022-07-05(二),8,9,10,13,24,29,2
2022-07-03(日),1,2,4,25,26,30,10
2022-06-30(四),5,7,15,19,29,33,15
2022-06-28(二),6,10,14,15,26,29,12
2022-06-26(日),5,14,15,16,18,32,12
2022-06-23(四),4,7,15,18,29,33,1
2022-06-21(二),4,6,9,27,28,33,2
2022-06-19(日),6,7,13,19,26,29,8
2022-06-16(四),7,12,15,24,26,29,6
2022-06-14(二),1,5,13,21,26,29,15
2022-06-12(日),6,11,14,20,27,30,9
2022-06-09(四),9,14,18,23,28,31,2
2022-06-07(二),4,6,12,13,17,31,16
2022-06-05(日),6,8,9,17,22,31,11
2022-06-02(四),16,18,20,21,23,33,5
2022-05-31(二),1,3,16,18,29,33,6
2022-05-29(日),16,18,19,24,28,32,1
2022-05-26(四),6,9,18,19,29,33,6
2022-05-24(二),6,13,14,23,31,33,1
2022-05-22(日),12,15,20,26,30,33,16
2022-05-19(四),1,6,11,14,17,26,15
2022-05-17(二),2,4,9,26,28,33,3
2022-05-15(日),8,12,21,27,28,33,11
2022-05-12(四),10,14,18,23,27,33,15
2022-05-10(二),7,24,27,29,31,32,15
2022-05-08(日),2,5,11,17,21,33,1
2022-05-05(四),3,5,8,14,27,33,8
2022-05-03(二),2,4,7,18,25,26,10
2022-05-01(日),5,7,17,20,26,31,14
2022-04-28(四),3,7,8,14,27,30,9
2022-04-26(二),2,11,24,25,27,30,14
2022-04-24(日),3,12,17,18,19,28,4
2022-04-21(四),1,7,8,21,23,29,6
2022-04-19(二),2,17,20,23,25,27,8
2022-04-17(日),5,10,11,21,22,30,13
2022-04-14(四),5,7,21,22,24,29,14
2022-04-12(二),3,12,14,16,31,33,12
2022-04-10(日),2,6,7,10,15,20,5
2022-04-07(四),9,12,13,16,24,32,4
2022-04-05(二),1,10,13,20,22,32,14
2022-04-03(日),2,3,14,16,26,31,2
2022-03-31(四),8,12,13,19,23,25,15
2022-03-29(二),14,17,26,31,32,33,10
2022-03-27(日),5,12,19,22,25,26,5
2022-03-24(四),4,10,11,14,23,32,7
2022-03-22(二),1,10,11,22,26,32,7
2022-03-20(日),12,23,24,26,27,30,5
2022-03-17(四),3,8,10,13,26,32,8
2022-03-15(二),5,11,20,22,23,29,9
2022-03-13(日),14,15,18,19,26,32,9
